ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
39,15710,2,0.17,0.25,0.1,0.423542,0.207046,0.216255,0.164415,1,0,4781.861453,2.988663,289.229893,1114.095641,63.939132,130.796186,53.68142,40.813155,824.865748,1833.882906,1833.882906,s15671i39d8.jpg,1525100,555873.457896,969243.583022,49354.634274,0,1,11272.17124,-86303.950006,ID39.png
40,15711,4,0.17,0.25,0.1,0.423542,0.207046,0.216255,0.164415,1,0,3285.459055,2.053412,500.461063,1722.890564,142.937609,292.398307,36.996943,28.128205,1222.429501,781.284245,781.284245,s15671i40d76.jpg,1337900,495430.295834,842492.47944,39753.961983,0,1,8663.74839,-65605.296839,ID40.png
41,15712,2,0.17,0.25,0.1,0.256391,0.28541,0.216255,0.164415,1,0,4391.795196,2.744872,285.352291,1152.394383,116.925581,84.219926,35.763947,48.442837,867.042092,1619.700406,1619.700406,s15671i41d10.jpg,1416000,526918.552895,889122.188474,44879.691554,0,1,10431.493911,-81219.331716,ID41.png
42,15713,4,0.17,0.25,0.1,0.256391,0.28541,0.32074,0.2689,1,0,2195.575448,1.372235,356.337391,1282.177244,129.308416,116.16071,60.307755,50.560511,925.839853,456.699102,456.699102,s15671i42d88.jpg,545514.505378,3826.077918,541688.42746,10666.216651,1,3,170837.647037,-198350.853208,ID42.png
43,15714,2,0.17,0.25,0.1,0.439239,0.213774,0.32074,0.2689,1,0,3314.995423,2.071872,266.546543,853.120843,50.698079,104.168833,60.749104,50.930527,586.5743,1230.93729,1230.93729,s15671i43d12.jpg,649468.093176,66021.787471,583446.305705,16883.115557,1,3,180775.177086,-228024.443447,ID43.png
44,15715,4,0.17,0.25,0.1,0.439239,0.213774,0.32074,0.2689,1,0,3202.84469,2.001778,511.285114,1612.872297,120.688262,247.976957,77.579329,65.040565,1101.587184,794.986196,794.986196,s15671i44d88.jpg,826639.249335,-25804.989251,852444.238586,15185.011455,1,3,244255.379943,-280782.830505,ID44.png
45,15716,2,0.17,0.25,0.1,0.272088,0.213774,0.225225,0.2689,1,0,4400.098411,2.750062,248.373784,1014.54736,59.06144,75.172478,52.02556,62.114307,766.173576,1692.775525,1692.775525,s15671i45d16.jpg,846742.117446,64001.406558,782740.710888,21781.189676,1,3,235270.538517,-294527.342821,ID45.png
46,15717,4,0.17,0.25,0.1,0.272088,0.292138,0.225225,0.173385,1,0,2454.968446,1.534355,373.599833,1427.049079,157.311859,146.515468,39.423241,30.349266,1053.449246,513.959683,513.959683,s15671i46d100.jpg,583506.903531,-2550.543722,586057.447253,11562.089158,1,3,189364.199343,-218419.743423,ID46.png
47,15718,3,0.17,0.25,0.1,0.454937,0.292138,0.225225,0.173385,1,0,3068.09876,1.917562,375.790375,1199.728209,114.585335,178.440155,46.764265,36.000619,823.937834,934.185276,934.185276,s15671i47d27.jpg,953165.906269,181919.528389,771246.37788,13291.404289,0,2,33728.595946,-51555.313751,ID47.png
48,15719,4,0.17,0.25,0.1,0.454937,0.220502,0.32971,0.173385,1,0,3525.34195,2.203339,610.400893,1896.487413,170.604441,351.989624,57.545341,30.261487,1286.08652,814.427268,814.427268,s15671i48d104.jpg,1343000,193763.968186,1149200,12629.099279,0,2,40128.04034,-47814.23089,ID48.png
